"mass","age","cores","RAM","color","power","evil"
94.71,59,16,104,"red","battery",0
101.33,29,20,128,"blue","battery",0
107.28,60,22,128,"black","hydrogen",0
106.43,52,22,144,"black","battery",0
119.98,17,22,152,"blue","hydrogen",0
89,20,20,136,"red","battery",0
110.65,29,26,144,"blue","propane",0
102.5,24,NA,96,"black","hydrogen",0
95.75,52,12,128,"black","battery",0
103.59,56,22,112,"red","hydrogen",0
103.51,55,26,120,"red","propane",0
119.6,26,NA,168,"black","propane",0
83.81,22,20,112,"black","hydrogen",0
92.95,25,22,152,"blue","battery",0
95.5,27,24,NA,"blue","propane",0
107.79,NA,28,120,"blue","hydrogen",0
96.18,29,26,136,"red","hydrogen",0
105.79,29,24,96,"red","propane",0
101.6,50,24,136,"red","battery",0
107.21,30,18,152,"red","hydrogen",0
114.39,NA,32,160,"red","propane",0
102.98,52,14,96,"blue","hydrogen",0
99.55,57,12,128,"black","battery",0
109.73,17,26,136,"blue","battery",0
99.25,29,16,152,"blue","battery",0
132.99,31,28,120,"blue","propane",0
109.98,28,30,144,"blue","propane",0
NA,31,24,152,"red","battery",0
88.6,19,20,120,"blue","battery",0
119.9,21,26,136,"blue","hydrogen",0
86.69,20,18,112,"red","battery",0
110.39,50,21,104,"red","hydrogen",0
102.41,20,24,136,"red","battery",0
98.54,21,28,136,"blue","propane",0
116.5,30,30,120,"black","propane",0
90.98,52,24,104,"black","propane",0
118.18,28,20,136,"blue","hydrogen",0
95.88,20,22,120,"black","battery",0
110.76,29,24,104,"black","battery",0
110.7,26,28,112,"red","hydrogen",0
123.78,52,16,152,"red","hydrogen",0
92.88,57,20,128,"red","propane",0
98.16,53,9,112,"red","battery",0
109.93,56,22,112,"black","propane",0
85.08,30,24,136,"black","battery",0
106.39,19,18,136,"black","hydrogen",1
123.86,31,28,160,"black","propane",0
111.42,26,24,152,"red","hydrogen",0
108.54,56,20,144,"black","battery",0
105.27,56,16,112,"blue","hydrogen",0
92.53,NA,16,136,"black","battery",0
97.12,53,18,136,"red","battery",0
95.41,NA,25,144,"blue","battery",0
108.85,31,18,168,"black","hydrogen",1
84.83,58,NA,128,"black","hydrogen",0
95.79,21,22,144,"blue","hydrogen",0
110.43,57,20,144,"black","propane",0
119.46,19,33,152,"red","propane",0
100.75,23,24,136,"red","propane",0
111.46,27,32,152,"red","propane",0
NA,54,24,112,"black","battery",0
90.2,22,24,120,"black","battery",0
119.17,50,NA,152,"red","hydrogen",0
100,55,18,144,"red","battery",1
108.12,56,26,128,"black","propane",0
116.88,58,26,144,"black","hydrogen",0
100.98,23,14,120,"red","battery",0
92.57,28,22,152,"red","battery",0
129.38,56,22,136,"blue","hydrogen",0
89.51,24,20,112,"red","battery",0
108.41,52,16,136,"red","battery",0
121,53,18,128,"red","hydrogen",0
107.87,29,26,256,"red","propane",0
115.74,22,28,136,"blue","hydrogen",0
101.62,56,14,128,"black","battery",0
88.85,28,14,128,"black","battery",0
92.95,NA,22,112,"black","battery",0
121.04,NA,31,160,"red","hydrogen",0
112.44,63,19,112,"black","hydrogen",0
106.3,28,28,128,"black","hydrogen",0
103.24,29,26,120,"black","battery",0
92.83,26,20,144,"red","battery",0
92.71,26,20,104,"black","battery",0
88.36,57,24,96,"black","propane",0
97.58,59,24,112,"black","propane",0
104.63,22,32,152,"blue","propane",0
87.9,55,16,112,"black","battery",0
103.34,51,33,112,"blue","propane",0
104.33,17,25,160,"black","battery",0
104.39,30,24,120,"blue","propane",0
111.96,58,24,128,"black","propane",0
85.32,51,14,96,"blue","battery",0
89.78,31,16,136,"black","battery",0
97.79,26,20,152,"red","battery",0
83.85,NA,22,136,"black","battery",0
98.74,51,24,104,"black","hydrogen",0
106.43,21,30,136,"blue","battery",0
113.24,25,30,136,"blue","battery",0
108.22,55,18,128,"black","battery",0
102.95,28,24,144,"red","hydrogen",0
97.89,53,16,168,"blue","hydrogen",0
NA,51,12,88,"black","battery",0
96.98,NA,14,120,"black","battery",0
86.53,59,18,88,"black","battery",0
96.62,30,18,144,"blue","battery",0
98.22,NA,20,128,"blue","propane",0
NA,27,30,136,"blue","propane",0
117.1,61,26,136,"black","battery",0
89.92,25,32,136,"red","propane",0
105.42,22,27,120,"blue","battery",0
101.15,22,20,152,"blue","battery",0
117.16,55,22,128,"black","hydrogen",0
111.81,51,28,136,"black","propane",0
83.13,61,14,96,"black","battery",0
108.43,24,24,136,"red","battery",0
102.37,15,34,160,"red","propane",0
119.95,60,28,152,"red","hydrogen",0
100.44,62,14,96,"black","battery",0
110.43,23,26,168,"black","hydrogen",0
120.57,29,28,152,"black","propane",0
95.17,55,20,120,"red","hydrogen",0
88.18,58,20,144,"red","propane",0
93.8,24,NA,152,"red","propane",0
106.06,54,24,104,"black","hydrogen",0
91.34,61,16,128,"black","propane",0
96.98,54,22,144,"black","battery",0
97.17,55,10,128,"black","hydrogen",0
110.67,55,22,160,"blue","battery",0
109.82,30,NA,144,"red","battery",0
NA,23,31,128,"red","propane",0
113.94,49,20,120,"blue","hydrogen",0
100.67,57,23,136,"black","propane",0
123.56,29,30,160,"black","hydrogen",0
101.31,56,22,128,"red","battery",0
97.7,55,20,112,"black","battery",0
100.26,25,NA,120,"red","battery",0
94.44,54,16,120,"blue","hydrogen",0
100.82,28,16,136,"black","battery",0
87.38,53,22,136,"red","propane",0
107.67,51,24,104,"black","battery",0
89.9,26,14,112,"blue","battery",0
99.19,58,14,120,"black","battery",0
99.18,28,26,128,"black","battery",0
105.27,53,26,144,"black","battery",0
114.09,26,34,144,"red","propane",0
107.31,25,26,104,"blue","battery",0
86.53,55,10,128,"black","battery",0
94.66,30,28,120,"red","propane",0
106.74,52,24,112,"black","propane",0
NA,25,26,120,"blue","battery",0
114.24,59,16,136,"black","hydrogen",0
108.94,30,26,168,"red","battery",0
102.68,50,16,88,"black","battery",0
112.37,61,23,152,"black","battery",0
100.17,26,30,160,"blue","propane",0
102.35,30,26,144,"blue","battery",0
110.68,31,22,152,"red","battery",0
108.96,32,26,168,"red","battery",0
99.37,27,22,136,"red","battery",0
93.02,28,22,128,"black","battery",0
100,55,20,104,"black","battery",0
118.11,32,24,160,"blue","battery",0
99.48,20,31,136,"blue","propane",0
108.59,22,22,136,"blue","hydrogen",0
105.58,22,34,152,"red","propane",0
97.38,32,16,NA,"blue","propane",0
117.89,53,20,160,"black","hydrogen",0
98.28,23,24,160,"red","propane",0
95.17,57,28,136,"black","battery",0
96.11,61,24,104,"black","propane",0
89.3,26,20,128,"red","propane",0
107.78,55,20,144,"black","hydrogen",0
94.04,27,22,96,"black","battery",0
88.79,61,18,80,"black","battery",0
111.85,29,22,NA,"blue","propane",0
92.32,28,27,120,"blue","propane",0
129.89,27,26,256,"black","hydrogen",1
101.91,59,24,144,"red","battery",0
74.41,55,4,80,"black","battery",0
101.82,18,30,136,"red","battery",0
116.36,26,28,136,"blue","hydrogen",0
83.64,NA,16,128,"red","battery",0
97.99,30,20,160,"black","propane",0
98.73,31,18,136,"black","propane",0
99.54,23,32,120,"black","hydrogen",0
122.12,28,26,256,"black","battery",0
117.94,51,34,160,"red","propane",0
101.46,51,20,112,"black","propane",0
NA,22,24,104,"blue","propane",0
112.53,53,20,160,"black","battery",0
85.64,54,18,112,"black","propane",0
113.43,31,22,136,"blue","battery",0
87.29,27,18,168,"black","propane",0
98.67,54,26,128,"black","propane",0
112.21,26,28,128,"black","propane",0
82.56,23,24,136,"red","propane",0
108.95,57,16,136,"black","hydrogen",0
110.42,54,21,128,"blue","battery",0
98.42,29,20,144,"black","battery",0
108.6,25,24,136,"black","hydrogen",0
80.17,27,22,96,"blue","battery",0
90.21,52,18,104,"black","battery",0
137.28,61,26,NA,"red","hydrogen",0
NA,22,26,104,"blue","propane",0
103.51,54,20,152,"red","battery",0
103.52,29,28,128,"red","battery",0
107.01,24,26,128,"red","battery",0
76.2,53,16,120,"black","propane",0
96.09,26,26,104,"blue","propane",0
109.68,54,20,128,"red","propane",0
105.03,54,14,136,"black","battery",0
99.38,29,16,152,"black","battery",1
111.5,29,22,176,"black","battery",0
NA,29,28,112,"black","propane",0
106.22,24,26,120,"red","hydrogen",0
95.22,25,18,120,"black","propane",0
103.96,23,20,96,"blue","battery",1
86.72,30,20,112,"black","hydrogen",0
112.95,53,24,104,"black","hydrogen",0
104.94,29,14,136,"black","hydrogen",0
92.68,25,18,128,"blue","battery",0
NA,27,20,104,"red","battery",0
112.41,58,18,96,NA,NA,0
99.49,30,18,120,"red","battery",0
89.44,57,20,120,"black","propane",0
105.99,22,36,144,NA,NA,0
120.07,56,24,120,"black","hydrogen",0
87.42,22,18,112,"black","battery",0
109.54,26,28,144,"blue","hydrogen",0
93.75,31,24,96,"blue","battery",0
106.93,29,30,128,"black","hydrogen",0
119.58,20,26,160,"blue","hydrogen",0
98.97,58,26,128,"black","propane",0
107.58,54,22,144,"black","battery",0
107.14,23,22,104,"blue","battery",0
138,24,32,120,"red","propane",0
101.3,30,NA,120,"black","hydrogen",0
101.94,24,26,160,"red","battery",0
103.94,59,16,128,"red","battery",0
108.51,30,28,120,"black","propane",0
107.6,51,24,144,"red","hydrogen",0
97.46,28,20,152,"black","battery",0
95.32,24,18,136,"black","battery",0
93.34,56,20,128,"black","propane",0
119.2,51,24,120,"red","hydrogen",0
NA,14,26,96,"blue","battery",1
85.28,29,24,128,"black","battery",0
137.2,NA,28,168,"black","hydrogen",1
97.01,27,NA,136,"black","battery",0
107.43,30,18,120,"blue","battery",0
105.9,54,26,152,"red","battery",1
119.28,29,32,136,"red","propane",0
121.09,52,18,128,"black","battery",0
103.56,25,30,128,"black","propane",0
94.77,24,24,120,"blue","battery",0
93.37,26,20,136,"blue","battery",0
99.97,22,24,128,"black","battery",0
99.87,59,18,104,"black","battery",0
90.56,52,16,120,"black","battery",0
91.18,56,22,104,"blue","battery",0
94.22,55,22,128,"black","propane",0
97.4,22,20,128,"black","propane",0
103.97,30,24,120,"blue","battery",0
113.28,26,28,136,"blue","hydrogen",0
112.46,21,28,136,"blue","battery",0
90.22,33,16,152,"blue","battery",0
109.55,25,28,160,"black","propane",0
NA,15,30,NA,"blue","hydrogen",0
88.7,32,22,104,"blue","battery",0
82.02,21,24,128,"black","battery",0
102.52,51,18,120,"red","battery",0
114.89,66,NA,176,"red","hydrogen",0
111.48,28,20,168,"red","hydrogen",0
97.25,26,22,120,"blue","battery",0
135.25,56,26,160,"black","battery",0
119.56,20,26,160,"blue","battery",0
96.57,24,24,136,"blue","battery",0
98.18,55,22,144,"red","battery",0
108.76,28,32,128,"red","hydrogen",0
108.45,50,26,144,"red","battery",0
100.06,58,22,120,"black","battery",0
86.25,23,NA,120,"red","battery",0
102.44,61,16,160,"red","battery",0
94.51,23,22,128,"blue","propane",0
112.59,55,26,128,"red","battery",0
101.39,28,22,128,"black","hydrogen",0
112.88,55,26,136,"red","hydrogen",0
116.25,29,20,256,"red","battery",0
110.53,58,24,128,"black","hydrogen",0
95.67,27,29,144,"red","battery",0
112.36,29,36,136,"red","propane",0
108.03,27,16,144,"blue","battery",0
121.9,28,36,144,"red","propane",0
109.43,27,20,152,"black","battery",0
NA,56,14,120,"black","battery",0
101.71,58,18,120,"black","battery",0
89.07,62,12,88,"black","battery",0
107.46,25,22,112,"black","hydrogen",0
108.77,27,24,160,"blue","propane",0
96.06,25,28,120,"red","propane",0
111.43,54,30,128,"black","hydrogen",0
85.48,54,22,112,"blue","propane",0
117.24,58,24,152,"blue","propane",0
103.5,61,20,136,"black","battery",0
111.92,31,NA,152,"blue","hydrogen",0
101.13,58,24,136,"black","propane",0
113.12,56,22,152,"blue","battery",0
99.42,25,28,144,"red","battery",0
115.38,25,32,152,"red","propane",0
85.74,NA,20,88,"red","hydrogen",0
106.52,28,23,128,"black","propane",0
88.44,24,24,120,"black","battery",0
105.66,28,22,120,"blue","battery",0
NA,68,14,88,"black","propane",0
97.48,17,36,144,"red","propane",0
96.56,22,28,136,"blue","propane",0
NA,29,32,144,"red","propane",0
100.84,58,14,152,"black","battery",1
95.37,30,NA,120,"blue","propane",0
109.29,28,18,128,"black","battery",0
98.38,22,21,136,"red","battery",0
NA,63,12,112,"blue","hydrogen",0
105.15,25,22,112,"black","propane",0
107.11,20,26,136,"black","hydrogen",0
94.63,18,32,136,"red","propane",0
107.09,53,26,144,"black","propane",0
102.23,57,20,NA,"black","battery",0
106,27,22,120,"black","battery",0
120.68,24,24,168,"red","hydrogen",0
95.46,55,18,112,"black","battery",0
106.65,18,32,136,"red","propane",0
95.69,27,18,144,"black","battery",0
107.2,33,23,136,"red","hydrogen",0
94.71,54,20,112,"black","propane",0
91.78,62,12,136,"black","propane",0
115.12,NA,22,152,"blue","hydrogen",0
94.3,29,22,136,"black","hydrogen",0
100.3,NA,12,160,"red","battery",0
94.73,18,26,128,"black","propane",0
84.41,29,20,112,"black","propane",0
105.65,24,28,112,"blue","propane",0
104.57,28,20,152,"black","battery",0
114.51,31,28,128,"black","hydrogen",0
115.12,54,30,168,"red","propane",0
99.73,24,24,152,"red","battery",0
NA,32,20,144,"red","hydrogen",0
93.3,28,24,136,"blue","battery",0
108.23,27,18,128,"blue","battery",0
124.81,55,32,160,"black","hydrogen",1
106.98,53,32,120,"black","battery",0
85.96,26,16,120,"blue","battery",0
127.66,15,38,136,"red","propane",0
84.53,27,18,128,"red","battery",0
68.27,56,12,104,"blue","battery",0
108.88,25,22,136,"black","propane",0
102.72,22,20,120,"blue","battery",0
87.19,56,14,120,NA,NA,0
103.69,56,16,160,"black","hydrogen",0
109.74,52,18,112,"red","hydrogen",0
112.7,57,26,128,"black","propane",0
127.9,27,34,128,"red","propane",0
100.46,30,16,88,"black","battery",0
109.72,52,18,144,"red","battery",0
